FACULTY OF HUMANITIES,,,,,,
"QUALIFICATION
CODE",QUALIFICATION NAME,"SUBJECT
CODE",SUBJECT NAME,"STUDY
PERIOD","SA/SADC STUDENT
FEE","FOREIGN
STUDENT FEE"
,,IRE407C,INTRODUCTION TO RESEARCH,1,"5 ,600","8,400"
,,MAC407E,METHODOLOGY: ARTS AND CULTURE,1,"2 ,980","4,470"
,,MAG407E,METHODOLOGY: AGRICULTURAL SCIENCES,1,"2 ,980","4,470"
,,MAT407E,"METHODOLOGY: COMPUTER APPLICATION
TECHNOLOGY",1,"2 ,980","4,470"
,,MBS407E,METHODOLOGY: BUSINESS STUDIES,1,"2 ,980","4,470"
,,MCN407E,METHODOLOGY: CONSUMER STUDIES,1,"2 ,980","4,470"
,,MCT407E,METHODOLOGY: CIVIL TECHNOLOGY,1,"2 ,980","4,470"
,,MEA407E,METHODOLOGY: ACCOUNTING,1,"2 ,980","4,470"
,,MEC407E,METHODOLOGY: ECONOMICS,1,"2 ,980","4,470"
,,MEE407E,METHODOLOGY: ENGLISH,1,"2 ,980","4,470"
,,MEG407E,"METHODOLOGY: ENGINEERING GRAPHICS
AND DESIGN",1,"2 ,980","4,470"
,,MEL407E,METHODOLOGY: ELECTRICAL TECHNOLOGY,1,"2 ,980","4,470"
,,MEM407E,METHODOLOGY: ECONOMIC & MAN SCIENCES,1,"2 ,980","4,470"
,,MIT407E,METHODOLOGY: INFORMATION TECHNOLOGY,1,"2 ,980","4,470"
,,MLS407E,METHODOLOGY: LIFE SCIENCES,1,"2 ,980","4,470"
,,MMA407E,METHODOLOGY: MATHEMATICS,1,"2 ,980","4,470"
,,MML407E,METHODOLOGY: MATHEMATICAL LITERACY,1,"2 ,980","4,470"
,,MMT407E,METHODOLOGY: MECHANICAL TECHNOLOGY,1,"2 ,980","4,470"
,,MNS407E,METHODOLOGY: NATURAL SCIENCES,1,"2 ,980","4,470"
,,MPS407E,METHODOLOGY: PHYSICAL SCIENCES,1,"2 ,980","4,470"
,,MSS407E,METHODOLOGY: SOCIAL SCIENCES,1,"2 ,980","4,470"
,,MTE407E,METHODOLOGY: TECHNOLOGY,1,"2 ,980","4,470"
,,MTH407E,METHODOLOGY: MATHEMATICS,1,"2 ,980","4,470"
,,MTO407E,METHODOLOGY: TOURISM,1,"2 ,980","4,470"
,,MVA407E,METHODOLOGY: VISUAL ART,1,"2 ,980","4,470"
,,MXO407E,METHODOLOGY: ISIXHOSA,1,"2 ,980","4,470"
,,PRS407C,PROFESSIONAL STUDIES,1,"5 ,600","8,400"
,,SBL407W,SCHOOL-BASED LEARNING,1,"3 ,360","5,050"
PD_EDU,"POSTGRADUATE DIPLOMA IN
HIGHER EDUCATION",APHE508,"ASSESSMENT PRACTICES IN HIGHER
EDUCATION",1,"4 ,950","7,420"
,,CDHE508,"CURRICULUM DEVELOPMENT IN HIGHER
EDUCATION",1,"7 ,140","10,710"
,,ETHE518,"EDUCATIONAL TECHNOLOGY IN HIGHER
EDUCATION",1,"3 ,850","5,770"
,,IRHE528,"INTRO TO RESEARCH ON LEARNING AND
TEACHING HE",1,"3 ,850","5,770"
,,LTHE508,"LEARNING AND TEACHING IN HIGHER
EDUCATION",1,"7 ,140","10,710"
,,QAHE508,"QUALITY ASSURANCE AND ENHANCE IN
HIGHER ED",1,"4 ,950","7,420"
,,WLHE528,WORK INTEGRATED LEARNING,1,"3 ,850","5,770"
KGBTGS,B TECH: GRAPHIC DESIGN,COD40AK,COMMUNICATION DESIGN IV,1,"1 4,550","21,820"
,,HAD40AK,"THEORY OF GRAPHIC DESIGN & ACADEMIC
RE",1,"1 3,690","20,530"
SSBTTK,B TECH: LANGUAGE PRACTICE,CPU30AS,COMPUTER USAGE III,1,"8 ,050","12,070"
,,FCH40AS,FRENCH IV (LANGUAGE X),1,"5 ,860","8,790"
,,GER40AS,GERMAN IV (LANGUAGE X),1,"5 ,860","8,790"
,,LAA40AS,AFRIKAANS IV (LANGUAGE X),1,"5 ,860","8,790"
,,LAE40AS,ENGLISH IV (LANGUAGE X),1,"5 ,860","8,790"
,,NMT10AS,RESEARCH METHODS AND TECHNIQUES I,1,"6 ,060","9,090"
,,RTL10AS,MARKETING AND ADVERTISING LANGUAGE I,1,"5 ,830","8,750"
,,SOT40AS,SESOTHO IV (PRACTICE),1,"5 ,830","8,750"
,,TDN40AS,LANGUAGE DYNAMICS IV,1,"5 ,830","8,750"
,,TSW40AS,SETSWANA IV (LANGUAGE X),1,"5 ,860","8,790"
,,TVP40AS,LANGUAGE AND TRANSLATION PRACTICE IV,1,"5 ,830","8,750"
,,XHS40AS,ISIXHOSA IV (LANGUAGE X),1,"5 ,850","8,770"
BWBTNA,"B TECH: EDUCATION: POST
SCHOOL",AFS10AB,AFRIKAANS (LANGUAGE X),1,"3 ,100","4,640"
,,AFY10AB,AFRIKAANS (LANGUAGE Y),1,"3 ,180","4,770"
,,DID40BB,SPECIFIC SUBJECT DIDACTICS,1,"5 ,320","7,970"
,,EDU10AB,THEORY OF POST SCHOOL EDUCATION I,1,"5 ,320","7,970"
,,ENG10AB,ENGLISH (LANGUAGE Y),1,"3 ,190","4,780"
,,ENS10AB,ENGLISH (LANGUAGE X),2,"3 ,100","4,680"
,,LGZ10AB,ENGLISH I (LANGUAGE Z),1,"3 ,190","4,780"
,,NMT20AB,RESEARCH METHODS AND TECHNIQUES,1,"5 ,610","8,410"
,,OMD10AB,TEACHING MEDIA I,1,"1 ,660","2,490"
,,ONB10AB,EDUCATIONAL MANAGEMENT I,1,"1 ,660","2,490"
,,ONP10AB,TEACHING PRACTICE I,1,"3 ,080","4,620"
,,RGL10AB,COMPUTER LITERACY I,1,"6 ,710","10,060"
,,SOZ10AB,SOTHO I (SOUTH) (LANGAUGE Z),1,"3 ,190","4,780"
,,SSO10AB,SESOTHO (LANGUAGE Y),1,"3 ,190","4,780"
,,STH10AB,SESOTHO (LANGUAGE X),1,"5 ,500","8,250"
,,TLZ10AB,AFRIKAANS I (LANGUAGE Z),1,"5 ,500","8,250"
,,XHA10AB,ISIXHOSA I (LANGUAGE X),1,"3 ,180","4,770"
,,ZUU10AB,ISIZULU I (LANGUAGE X),1,"3 ,180","4,770"
BEDFPT,"BACHELOR OF EDUC IN FOUND
PHASE TEACHING",ADC5022,ADVANCED DIGITAL LITERACY,1,"5 ,080","7,610"
,,AFS11EF,HOME LANGUAGE I: AFRIKAANS,1,"1 ,470","2,210"
,,CAY12EF,LANGUAGE OF CONVERSATION I: AFRIKAANS,1,"2 ,960","4,440"
,,CHY12EF,LANGUAGE OF CONVERSATION I: SESOTHO,1,"2 ,960","4,440"
,,CTY12EF,LANGUAGE OF CONVERSATION I: SETSWANA,1,"2 ,960","4,440"
,,CXY12EF,LANGUAGE OF CONVERSATION I: isiXHOSA,1,"2 ,960","4,440"
,,CZY12EF,LANGUAGE OF CONVERSATION I: isiZULU,1,"2 ,960","4,440"
,,EDC11EF,EDUCATION I: LEARNER & LEARNING,1,"4 ,670","7,000"
,,EDM11EF,"EDUCATION I: MEDIA IN TEACHING AND
LEARNING",1,"2 ,950","4,420"
,,EHS11EF,ENGLISH FIRST ADDITIONAL I,1,"1 ,480","2,210"
,,GRF11EF,GRADE R AND FOUNDATION PHASE STUDIES I,1,"1 ,470","2,210"
,,LCS5012,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"1 ,480","2,210"
,,LFS11EF,LIFE SKILLS I,1,"2 ,450","3,680"
,,LSM21EF,FP SPECIFIC SUBJECT METHOD: LIFE SKILLS I,1,"1 ,480","2,210"
,,MCT11EF,MICRO TEACHING OBSERVATION I,1,"1 ,470","2,210"
,,MTH11EF,FOUNDATION PHASE MATHEMATICS I,1,"2 ,950","4,420"
,,SBX12EF,SCHOOL-BASED LEARNING,1,"2 ,950","4,420"
,,SST11EF,HOME LANGUAGE I: SESOTHO,1,"1 ,480","2,210"
,,SWS11EF,HOME LANGUAGE I: SETSWANA,1,"1 ,480","2,210"
,,XSH11EF,HOME LANGUAGE I: isiXHOSA,1,"1 ,480","2,210"
,,ZLS11EF,HOME LANGUAGE I: isiZULU,1,"1 ,480","2,210"
,,AFS21EF,HOME LANGUAGE II: AFRIKAANS,2,"1 ,480","2,210"
,,CAY21EF,LANGUAGE OF CONVERSATION II: AFRIKAANS,2,"2 ,940","4,410"
,,CHY21EF,LANGUAGE OF CONVERSATION II: SESOTHO,2,"2 ,940","4,410"
,,CXY21EF,LANGUAGE OF CONVERSATION II: isiXHOSA,2,"2 ,940","4,410"
,,CZY21EF,LANGUAGE OF CONVERSATION II: isiZULU,2,"2 ,940","4,410"
,,EDC21EF,EDUCATION II: WORKING IN CLASSROOMS,2,"9 ,280","13,920"
,,EDM21EF,EDUCATION II: CURRICULUM STUDIES,2,"9 ,280","13,920"
,,EHS21EF,ENGLISH FIRST ADDITIONAL II,2,"1 ,480","2,210"
,,GRF21EF,"GRADE R AND FOUNDATION PHASE STUDIES
II",2,"1 ,470","2,210"
,,LFS21EF,LIFE SKILLS II,2,"2 ,450","3,680"
,,LNG11EF,LANGUAGE OF LEARNING AND TEACHING I,2,"2 ,940","4,410"
,,LNG22EF,LANGUAGE OF LEARNING AND TEACHING II,2,"2 ,940","4,410"
,,LPM22EF,"FP SPECIFIC SUBJECT METHOD: LIT PRACTICE
I",2,"2 ,940","4,410"
,,MCT21EF,MICRO TEACHING II,2,"1 ,480","2,210"
,,MFM22EF,"FP SPECIFIC SUBJECT METHOD:
MATHEMATICS I",2,"1 ,480","2,210"
,,MFM32EF,"FP SPECIFIC SUBJECT METHOD:
MATHEMATICS II",2,"1 ,480","2,210"
,,MTH21EF,FOUNDATION PHASE MATHEMATICS II,2,"2 ,940","4,410"
,,SBX22EF,SCHOOL-BASED LEARNING II,2,"5 ,850","8,770"
,,SST21EF,HOME LANGUAGE II: SESOTHO,2,"1 ,480","2,210"
,,SWS21EF,HOME LANGUAGE II: SETSWANA,2,"1 ,480","2,210"
,,XSH21EF,HOME LANGUAGE II: isiXHOSA,2,"1 ,480","2,210"
,,ZLS21EF,HOME LANGUAGE II: isiZULU,2,"1 ,480","2,210"
,,AFS31EF,HOME LANGUAGE III: AFRIKAANS,3,"1 ,480","2,210"
,,CAY31EF,LANGUAGE OF CONVERSATION III: AFRIKAANS,3,"2 ,940","4,410"
,,CHY31EF,LANGUAGE OF CONVERSATION III: SESOTHO,3,"2 ,940","4,410"
,,CTY31EF,LANGUAGE OF CONVERSATION III: SETSWANA,3,"2 ,940","4,410"
,,CXY31EF,LANGUAGE OF CONVERSATION III: isiXHOSA,3,"2 ,940","4,410"
,,CZY31EF,LANGUAGE OF CONVERSATION III: isiZULU,3,"2 ,940","4,410"
,,EDC31EF,EDUCATION III: BEING A TEACHER,3,"4 ,640","6,960"
,,EDM31EF,EDUCATION III: LEARNER CENTRED SCHOOLS,3,"4 ,640","6,960"
,,EHS31EF,ENGLISH FIRST ADDITIONAL III,3,"1 ,480","2,210"
,,LEB31EF,LEARNING BARRIERS,3,"2 ,940","4,410"
,,LFS31EF,LIFE SKILLS III,3,"2 ,450","3,680"
,,LPM32EF,"FP SPECIFIC SUBJECT METHOD: LIT PRACTICE
II",3,"2 ,940","4,410"
,,LSM31EF,FP SPECIFIC SUBJECT METHOD: LIFE SKILLS II,3,"1 ,480","2,210"
,,MCT31EF,MICRO TEACHING III,3,"1 ,480","2,210"
,,MTH31EF,FOUNDATION PHASE MATHEMATICS III,3,"2 ,940","4,410"
,,SBX32EF,SCHOOL-BASED LEARNING III,3,"5 ,850","8,760"
,,SST31EF,HOME LANGUAGE III: SESOTHO,3,"2 ,940","4,410"
,,SWS31EF,HOME LANGUAGE III: SETSWANA,3,"2 ,940","4,410"
,,XSH31EF,HOME LANGUAGE III: isiXHOSA,3,"2 ,940","4,410"
,,ZLS31EF,HOME LANGUAGE III: isiZULU,3,"2 ,940","4,410"
,,EDC41EF,EDUCATION IV: SCHOOL ADMINISTRATION,4,"4 ,640","6,950"
,,IER41EF,INTRODUCTION TO CLASSROOM RESEARCH,4,"6 ,110","9,160"
,,LPM42EF,"FP SPECIFIC SUBJECT METHOD: LIT PRACTICE
III",4,"2 ,940","4,410"
,,LSM41EF,"FP SPECIFIC SUBJECT METHOD: LIFE SKILLS
III",4,"1 ,480","2,210"
,,MFM42EF,"FP SPECIFIC SUBJECT METHOD:
MATHEMATICS III",4,"1 ,480","2,210"
,,SBX42EF,SCHOOL-BASED LEARNING IV,4,"5 ,850","8,760"
BEDSFC,"BED (SP& FET) COMPUTER
SCIENCE",ADC5022,ADVANCED DIGITAL LITERACY,1,"5 ,080","7,610"
,,CAY12ES,"COMMUNICATION IN AFRIKAANS SECOND
LANGUAGE",1,"2 ,840","4,260"
,,CHY12ES,"COMMUNICATION IN SESOTHO SECOND
LANGUAGE",1,"2 ,840","4,260"
,,CMP12ES,COMPUTER APPLICATIONS TECHNOLOGY,1,"3 ,230","4,840"
,,CNX12ES,"COMMUNICATION IN ENGLISH SECOND
LANGUAGE",1,"2 ,840","4,260"
,,CTY12ES,"COMMUNICATION IN SETSWANA SECOND
LANGUAGE",1,"2 ,840","4,260"
,,CXY12ES,"COMMUNICATION IN IsiXHOSA SECOND
LANGUAGE",1,"2 ,840","4,260"
,,CZY12ES,"COMMUNICATION IN ZULU SECOND
LANGUAGE",1,"2 ,840","4,260"
,,DLC5011,BASIC DIGITAL LITERACY,1,"3 ,290","4,940"
,,EDC11ES,EDUCATION I: LEARNER AND LEARNING,1,"3 ,380","5,070"
,,EDM11ES,"EDUCATION I: MEDIA IN TEACHING AND
LEARNING",1,"3 ,380","5,070"
,,ITT12ES,INFORMATION TECHNOLOGY,1,"3 ,230","4,840"
,,LCS5012,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"1 ,480","2,210"
,,LFS11ES,LIFE SKILLS,1,"3 ,030","4,540"
,,MCT11ES,MICRO TEACHING I,1,"2 ,620","3,930"
,,MTC12ES,MATHEMATICS I: FET MAJOR,1,"3 ,380","5,070"
,,MTH11ES,MATHEMATICS SP 1,1,"3 ,380","5,070"
,,NMR5011,NUMERACY,1,"4 ,500","6,750"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,SBX12ES,SCHOOL BASED LEARNING I,1,"1 ,330","1,990"
,,TCG11ES,TECHNOLOGY SP1,1,"3 ,380","5,070"
,,CMP22ES,"COMPUTER APPLICATIONS TECHNOLOGY:
THEORY",2,"3 ,380","5,070"
,,CTM22ES,"COMPUTER APPLICATIONS TECHNOLOGY:
METHODOLOGY",2,"2 ,620","3,930"
,,EDC21ES,EDUCATION,2,"3 ,380","5,070"
,,EDM21ES,EDUCATION II: CURRICULUM STUDIES,2,"3 ,380","5,070"
,,GSM11ES,GENERAL SUBJECT METHODOLOGY,2,"3 ,030","4,540"
,,ITT22ES,IMFORMATION TECHNOLOGY THEORY,2,"3 ,380","5,070"
,,LNG11ES,LANGUAGE OF TEACHING AND LEARNING,2,"3 ,510","5,260"
,,LNG22ES,LANGUAGE OF TEACHING AND LEARNING,2,"3 ,510","5,260"
,,MCT21ES,MICRO TEACHING,2,"2 ,620","3,930"
,,MIM22ES,MATHEMATICS: FET METHODOLOGY,2,"2 ,620","3,930"
,,MTC22ES,MATHEMATICS II: FET MAJOR,2,"3 ,380","5,070"
,,MTH21ES,MATHEMATICS: SP II MAJOR,2,"3 ,380","5,070"
,,MTS21ES,MATHEMATICS: SP I METHODOLOGY,2,"2 ,620","3,930"
,,SBX22ES,SCHOOL BASED LEARNING,2,"2 ,650","3,980"
,,TCG21ES,TECHNOLOGY SP II,2,"3 ,380","5,070"
,,TCM11ES,TECHNOLOGY SP I: METHODOLOGY,2,"2 ,620","3,930"
,,CMP32ES,COMPUTER APPLICATIONS TECHNOLOGY,3,"3 ,380","5,070"
,,CTM32ES,"COMPUTER APPLICATIONS TECHNOLOGY:
METHODOLOGY",3,"2 ,620","3,930"
,,EDC31ES,EDUCATION,3,"3 ,380","5,070"
,,EDM31ES,"EDUCATION III: LEARNER CENTERED
SCHOOLS",3,"3 ,380","5,070"
,,GSM21ES,GENERAL SUBJECT METHODOLOGY,3,"3 ,030","4,540"
